Rebalancing Dates,EEM,GLD,SPY,TLT,VGK
2020-01-30,0.11487069155325383,0.2458244559921265,0.23111861384704943,0.19386808987445453,0.21431814873311564
2020-02-27,0.14791641547197404,0.281754634292359,0.13928459188593037,0.2816646877222394,0.1493796706274973
2020-03-30,0.1434259780623575,0.3577687259515375,0.14371336745315982,0.21219057335049274,0.1429013551824524
2020-04-29,0.15391610635295916,0.25658818984271853,0.14052694978551405,0.29972349501278384,0.14924525900602448
2020-05-28,0.16386334549457668,0.27114641194392325,0.18377287625407818,0.235171691679546,0.14604567462787593
2020-06-29,0.15290371904506478,0.29356853376197356,0.14471383171323263,0.27143130419317213,0.1373826112865568
2020-07-30,0.11333323170003255,0.2443395099464678,0.2036524365233256,0.2798745407970086,0.1588002810331655
2020-08-28,0.17419314815987857,0.08620421417662061,0.3259383124412069,0.21824130607655917,0.19542301914573468
2020-09-29,0.18137041234595672,0.21785279230226137,0.1246314137106439,0.33673453281216453,0.1394108488289734
2020-10-29,0.2008355284313682,0.2433423789062222,0.14909573317379043,0.26587746591220524,0.140848893576414
2020-11-27,0.22046687350691216,0.16129674627546087,0.21281325945608343,0.21576799820634435,0.18965512255519928
2020-12-30,0.15401449909078954,0.17122677168718697,0.2559523058142204,0.2192072315962836,0.19959919181151942
2021-01-28,0.13958219606937142,0.1856141969710631,0.2208324642736045,0.25915635043537477,0.19481479225058612
2021-02-25,0.1479577686838162,0.16709481749274713,0.20054550022120243,0.2467361763927706,0.23766573720946357
2021-03-30,0.11571602927293002,0.22328996379298846,0.2005834554338165,0.217983764541629,0.24242678695863584
2021-04-29,0.18959297018549792,0.20343415105404916,0.21749844773827592,0.2142772330418228,0.17519719798035419
2021-05-27,0.1401286015223937,0.2557842443620704,0.1761268688095102,0.2712692674105983,0.15669101789542741
2021-06-29,0.22125314235594606,0.14624402919186286,0.2656516365989184,0.17217538288980033,0.19467580896347234
2021-07-29,0.12365523593717281,0.32468860446201797,0.220920431498505,0.16448049028665593,0.1662552378156483
2021-08-30,0.1422782500489966,0.14577610119862605,0.26601575870750066,0.2132606844528794,0.23266920559199727
2021-09-29,0.18598023704088112,0.20980952769844233,0.22752440707608168,0.19029320898877827,0.18639261919581657
2021-10-28,0.17076464531679675,0.21229732784095187,0.2165368447466894,0.16314075148158716,0.23726043061397484
2021-11-29,0.17594377684316054,0.20368272739290752,0.2473327747438491,0.1461221861487518,0.22691853487133115
2021-12-30,0.1773923367755125,0.2995316600022572,0.15744296921054252,0.18849001895021023,0.17714301506147742
2022-01-28,0.16070567017012205,0.23130278872175944,0.1726600698049563,0.20677233778145204,0.22855913352171012
2022-02-25,0.17162848849380616,0.3041735332016245,0.1467430346933585,0.23077089871343912,0.14668404489777173
2022-03-30,0.1393390391614259,0.24720810215915617,0.2369301674106884,0.2320459702661748,0.14447672100255468
2022-04-28,0.17994703080427407,0.27836694184950417,0.1485258698001184,0.19924994115938754,0.19391021638671582
2022-05-27,0.15855633148730303,0.33936019712663434,0.13592704689402912,0.2101339670764518,0.15602245741558174
2022-06-29,0.1787697580740398,0.30657255833524755,0.1512756438084727,0.20530453734864493,0.15807750243359486
2022-07-28,0.19910404689376776,0.2500126718145835,0.18848298261578544,0.21531250829374607,0.14708779038211725
2022-08-30,0.2264613075446258,0.26795752322136185,0.1626569084135396,0.17218947223891884,0.17073478858155383
2022-09-29,0.2143345540303312,0.27868477766831945,0.17772836574894443,0.1794275704203528,0.1498247321320521
2022-10-28,0.16060106961881163,0.31115502278147583,0.15881672497802998,0.2283151413947464,0.14111204122693607
2022-11-29,0.18025659880498143,0.2566200969428914,0.1815570873989223,0.223486718238774,0.15807949861443096
2022-12-29,0.21675931498361298,0.22690081127868278,0.1835153026307702,0.16217316386438824,0.21065140724254572
